Trial-ID,Status,Iteration,dropout,lr,num_hidden_units,Objective,epochs,train_acc,train_loss,val_acc_uncertainty,val_loss,val_loss_uncertainty
27,COMPLETED,1,0.4,0.017842284669019846,43.0,0.7869983041266252,340.9,0.8468965517241379,0.5097289681434631,0.006389202939513838,0.7750670313835144,0.02382775247097013
28,INTERMEDIATE,1,0.4,0.017846811440551114,35.0,0.7849067269643866,330.4,0.8413793103448276,0.5297480821609497,0.0072371396269079735,0.7809780836105347,0.021628889441490107
28,COMPLETED,1,0.4,0.017846811440551114,35.0,0.7849067269643866,330.4,0.8413793103448276,0.5297480821609497,0.0072371396269079735,0.7809780836105347,0.021628889441490107
29,INTERMEDIATE,1,0.4,0.018036438001420733,43.0,0.78631995477671,305.1,0.8434482758620689,0.5094837546348572,0.007292255511588408,0.7722173929214478,0.025569292902946406
29,COMPLETED,1,0.4,0.018036438001420733,43.0,0.78631995477671,305.1,0.8434482758620689,0.5094837546348572,0.007292255511588408,0.7722173929214478,0.025569292902946406
30,INTERMEDIATE,1,0.4,0.018463417530305292,43.0,0.7863199547767099,245.1,0.8374137931034484,0.5372730493545532,0.006896551724137834,0.7747771143913269,0.02318036109209054
30,COMPLETED,1,0.4,0.018463417530305292,43.0,0.7863199547767099,245.1,0.8374137931034484,0.5372730493545532,0.006896551724137834,0.7747771143913269,0.02318036109209054
31,INTERMEDIATE,1,0.4,0.018581285964657406,43.0,0.7867721876766535,306.0,0.8446551724137932,0.5142735242843628,0.007182023742227206,0.7770848274230957,0.02877987176179886
31,COMPLETED,1,0.4,0.018581285964657406,43.0,0.7867721876766535,306.0,0.8446551724137932,0.5142735242843628,0.007182023742227206,0.7770848274230957,0.02877987176179886
32,INTERMEDIATE,1,0.38717184016736444,0.04441514193476867,36.0,0.7862068965517242,272.3,0.8401724137931035,0.5107284784317017,0.006500847936687482,0.7805382013320923,0.022111828625202112
32,COMPLETED,1,0.38717184016736444,0.04441514193476867,36.0,0.7862068965517242,272.3,0.8401724137931035,0.5107284784317017,0.006500847936687482,0.7805382013320923,0.022111828625202112
33,INTERMEDIATE,1,0.16154016421119552,0.049999999999999996,35.0,0.7866026003391747,275.5,0.8477586206896552,0.49620765447616577,0.006502261164499701,0.7843683958053589,0.027185106277465843
33,COMPLETED,1,0.16154016421119552,0.049999999999999996,35.0,0.7866026003391747,275.5,0.8477586206896552,0.49620765447616577,0.006502261164499701,0.7843683958053589,0.027185106277465843
34,INTERMEDIATE,1,0.09094447850060294,0.049999999999999996,35.0,0.785528547201809,237.5,0.8481034482758621,0.49333029985427856,0.006445732052006825,0.7868332266807556,0.02956168651580804
34,COMPLETED,1,0.09094447850060294,0.049999999999999996,35.0,0.785528547201809,237.5,0.8481034482758621,0.49333029985427856,0.006445732052006825,0.7868332266807556,0.02956168651580804
35,INTERMEDIATE,1,0.4,0.009550774724464032,41.0,0.7851893725268513,324.1,0.836551724137931,0.5498894453048706,0.007687959299038982,0.7780965566635132,0.023755821585655146
