Trial-ID,Status,Iteration,dropout,lr,num_hidden_units,Objective,epochs,train_acc,train_loss,val_acc_uncertainty,val_loss,val_loss_uncertainty
43,COMPLETED,1,0.2680603198133284,0.014270409100513972,33.0,0.7889768230638778,312.3,0.8464655172413794,0.5144949555397034,0.004381712832108531,0.761506199836731,0.01747925430536268
44,INTERMEDIATE,1,0.25949471365964666,0.014634769579105871,33.0,0.7886659129451669,334.95,0.8488793103448276,0.5024197697639465,0.004608535895986643,0.7605809569358826,0.014728946983814217
44,COMPLETED,1,0.25949471365964666,0.014634769579105871,33.0,0.7886659129451669,334.95,0.8488793103448276,0.5024197697639465,0.004608535895986643,0.7605809569358826,0.014728946983814217
45,INTERMEDIATE,1,0.33044402610822177,0.011897456832491271,33.0,0.7886376483889204,348.95,0.8457758620689656,0.5229795575141907,0.004352741661955872,0.7627890110015869,0.013119468092918307
45,COMPLETED,1,0.33044402610822177,0.011897456832491271,33.0,0.7886376483889204,348.95,0.8457758620689656,0.5229795575141907,0.004352741661955872,0.7627890110015869,0.013119468092918307
46,INTERMEDIATE,1,0.5213419117093963,0.0005644216697387898,45.0,0.7837478801582815,1221.4,0.8206034482758622,0.6502072215080261,0.005457179197286499,0.7942968606948853,0.019475148618221305
46,COMPLETED,1,0.5213419117093963,0.0005644216697387898,45.0,0.7837478801582815,1221.4,0.8206034482758622,0.6502072215080261,0.005457179197286499,0.7942968606948853,0.019475148618221305
47,INTERMEDIATE,1,0.01,0.0004999999999999999,32.0,0.7834369700395704,1307.1,0.8231896551724139,0.6359259486198425,0.005683295647258335,0.7915967106819153,0.018237064778804823
47,COMPLETED,1,0.01,0.0004999999999999999,32.0,0.7834369700395704,1307.1,0.8231896551724139,0.6359259486198425,0.005683295647258335,0.7915967106819153,0.018237064778804823
48,INTERMEDIATE,1,0.01,0.0004999999999999999,39.0,0.7852459016393443,1264.2,0.8262068965517242,0.6160305738449097,0.004834652345958257,0.7830164432525635,0.018475270271301247
