Trial-ID,Status,Iteration,dropout,lr,num_heads,num_hidden_units,num_layers,residual,Objective,epochs,train_acc,train_loss,val_acc_uncertainty,val_loss,val_loss_uncertainty
7,INTERMEDIATE,1,0.6367880936971648,0.0012729435278987062,6,16,1,False,0.7936687394007914,756.2,0.8189655172413793,0.5804956555366516,0.003504804974561848,0.7067580223083496,0.009885191917419434
7,COMPLETED,1,0.6367880936971648,0.0012729435278987062,6,16,1,False,0.7936687394007914,756.2,0.8189655172413793,0.5804956555366516,0.003504804974561848,0.7067580223083496,0.009885191917419434
8,INTERMEDIATE,1,0.4779362653210212,0.003084471095809767,7,19,1,True,0.7950254381006218,249.6,0.8451724137931034,0.4644901752471924,0.005542679479932366,0.6937755346298218,0.010876178741455078
8,COMPLETED,1,0.4779362653210212,0.003084471095809767,7,19,1,True,0.7950254381006218,249.6,0.8451724137931034,0.4644901752471924,0.005542679479932366,0.6937755346298218,0.010876178741455078
9,INTERMEDIATE,1,0.2,0.001,7,20,1,True,0.7958168456755229,383.0,0.8589655172413793,0.44008731842041016,0.006896551724137834,0.6920610070228577,0.016518244147300742
9,COMPLETED,1,0.2,0.001,7,20,1,True,0.7958168456755229,383.0,0.8589655172413793,0.44008731842041016,0.006896551724137834,0.6920610070228577,0.016518244147300742
10,INTERMEDIATE,1,0.2,0.001,8,19,1,True,0.7928773318258904,366.0,0.8582758620689657,0.4357128143310547,0.008818541548897496,0.6930561065673828,0.018501640856266044
10,COMPLETED,1,0.2,0.001,8,19,1,True,0.7928773318258904,366.0,0.8582758620689657,0.4357128143310547,0.008818541548897496,0.6930561065673828,0.018501640856266044
11,INTERMEDIATE,1,0.2,0.001,7,19,1,True,0.7950254381006219,406.6,0.8641379310344828,0.43150338530540466,0.006444318824194495,0.705845296382904,0.03588971495628357
11,COMPLETED,1,0.2,0.001,7,19,1,True,0.7950254381006219,406.6,0.8641379310344828,0.43150338530540466,0.006444318824194495,0.705845296382904,0.03588971495628357
12,INTERMEDIATE,1,0.2,0.001989163130367803,6,20,1,True,0.7951384963256076,298.6,0.8679310344827587,0.39478111267089844,0.00712266817410967,0.70936119556427,0.034952402114868164
12,COMPLETED,1,0.2,0.001989163130367803,6,20,1,True,0.7951384963256076,298.6,0.8679310344827587,0.39478111267089844,0.00712266817410967,0.70936119556427,0.034952402114868164
13,INTERMEDIATE,1,0.2,0.001562898488951666,7,20,2,True,0.7912945166760882,268.2,0.8668965517241378,0.3871235251426697,0.005087620124364034,0.7390197515487671,0.059781670570373535
13,COMPLETED,1,0.2,0.001562898488951666,7,20,2,True,0.7912945166760882,268.2,0.8668965517241378,0.3871235251426697,0.005087620124364034,0.7390197515487671,0.059781670570373535
14,INTERMEDIATE,1,0.2,0.0018154449919001966,7,20,1,True,0.794007914075749,290.6,0.8637931034482758,0.4154053330421448,0.006447145279819044,0.7018191814422607,0.025975884497165702
14,COMPLETED,1,0.2,0.0018154449919001966,7,20,1,True,0.794007914075749,290.6,0.8637931034482758,0.4154053330421448,0.006447145279819044,0.7018191814422607,0.025975884497165702
15,INTERMEDIATE,1,0.29127629864553584,0.001,7,20,1,True,0.7927642736009044,512.0,0.8724137931034482,0.3880636692047119,0.007801017524024845,0.699762225151062,0.0254213809967041
15,COMPLETED,1,0.29127629864553584,0.001,7,20,1,True,0.7927642736009044,512.0,0.8724137931034482,0.3880636692047119,0.007801017524024845,0.699762225151062,0.0254213809967041
16,INTERMEDIATE,1,0.2,0.001513821548619632,6,19,1,True,0.7947993216506501,325.6,0.8600000000000001,0.4446328282356262,0.008140192198982543,0.7026554346084595,0.024348855018615723
